,tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,nickname,jpg_url,img_num,favorites,retweets,dog_label
1,892177421306343426,2017-08-01 00:17:27+00:00,iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,False,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,33819,6514,Chihuahua
2,891815181378084864,2017-07-31 00:18:03+00:00,iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,False,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,25461,4328,Chihuahua
3,891689557279858688,2017-07-30 15:58:51+00:00,iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,False,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,42908,8964,Labrador Retriever
4,891327558926688256,2017-07-29 16:00:24+00:00,iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,False,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,41048,9774,Basset
5,891087950875897856,2017-07-29 00:08:17+00:00,iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,,False,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,20562,3261,Chesapeake Bay Retriever
6,890971913173991426,2017-07-28 16:27:12+00:00,iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,False,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,12041,2158,Appenzeller
7,890729181411237888,2017-07-28 00:22:40+00:00,iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,,False,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,56848,16716,Pomeranian
8,890609185150312448,2017-07-27 16:25:51+00:00,iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,False,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,28226,4429,Irish Terrier
9,890240255349198849,2017-07-26 15:59:51+00:00,iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,True,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,32467,7711,Pembroke
10,890006608113172480,2017-07-26 00:31:25+00:00,iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,False,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,31166,7624,Samoyed
